Origin_Province,Destination_Province,Tax_Rate,Notes
AB,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
AB,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
BC,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
MB,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NB,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NL,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NS,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
ON,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
